Run, Size: 78121, Qtr: 1, DN: 1, FD%: 0.311670357522
Pass, Size: 49159, Qtr: 1, DN: 1, FD%: 0.314835533676
Run, Size: 78121, Qtr: 1, DN: 2, FD%: 0.311670357522
Pass, Size: 49159, Qtr: 1, DN: 2, FD%: 0.314835533676
Run, Size: 78121, Qtr: 1, DN: 3, FD%: 0.311670357522
Pass, Size: 49159, Qtr: 1, DN: 3, FD%: 0.314835533676
Run, Size: 78121, Qtr: 1, DN: 4, FD%: 0.311670357522
Pass, Size: 49159, Qtr: 1, DN: 4, FD%: 0.314835533676
Run, Size: 57380, Qtr: 2, DN: 1, FD%: 0.33642384106
Pass, Size: 45358, Qtr: 2, DN: 1, FD%: 0.30398165704
Run, Size: 57380, Qtr: 2, DN: 2, FD%: 0.33642384106
Pass, Size: 45358, Qtr: 2, DN: 2, FD%: 0.30398165704
Run, Size: 57380, Qtr: 2, DN: 3, FD%: 0.33642384106
Pass, Size: 45358, Qtr: 2, DN: 3, FD%: 0.30398165704
Run, Size: 57380, Qtr: 2, DN: 4, FD%: 0.33642384106
Pass, Size: 45358, Qtr: 2, DN: 4, FD%: 0.30398165704
Run, Size: 62154, Qtr: 3, DN: 1, FD%: 0.340460790939
Pass, Size: 27999, Qtr: 3, DN: 1, FD%: 0.300867888139
Run, Size: 62154, Qtr: 3, DN: 2, FD%: 0.340460790939
Pass, Size: 27999, Qtr: 3, DN: 2, FD%: 0.300867888139
Run, Size: 62154, Qtr: 3, DN: 3, FD%: 0.340460790939
Pass, Size: 27999, Qtr: 3, DN: 3, FD%: 0.300867888139
Run, Size: 62154, Qtr: 3, DN: 4, FD%: 0.340460790939
Pass, Size: 27999, Qtr: 3, DN: 4, FD%: 0.300867888139
Run, Size: 46636, Qtr: 4, DN: 1, FD%: 0.273544043228
Pass, Size: 24798, Qtr: 4, DN: 1, FD%: 0.289418501492
Run, Size: 46636, Qtr: 4, DN: 2, FD%: 0.273544043228
Pass, Size: 24798, Qtr: 4, DN: 2, FD%: 0.289418501492
Run, Size: 46636, Qtr: 4, DN: 3, FD%: 0.273544043228
Pass, Size: 24798, Qtr: 4, DN: 3, FD%: 0.289418501492
Run, Size: 46636, Qtr: 4, DN: 4, FD%: 0.273544043228
Pass, Size: 24798, Qtr: 4, DN: 4, FD%: 0.289418501492
